#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 706000      3.58e-02      3.01e-04      8.84e-03    1.4e-05
 708000      3.37e-02      3.68e-05      8.61e-03    1.4e-05
 710000      3.19e-02      9.73e-05      8.14e-03    1.4e-05
 712000      6.75e-02      5.22e-04      1.68e-02    1.4e-05
 714000      3.31e-02      6.87e-05      8.44e-03    1.4e-05
 716000      3.67e-02      7.14e-04      8.21e-03    1.3e-05
 718000      3.31e-02      4.83e-04      8.01e-03    1.3e-05
 720000      3.51e-02      1.58e-04      9.19e-03    1.3e-05
 722000      3.13e-02      1.56e-04      8.16e-03    1.3e-05
 724000      3.12e-02      8.96e-05      8.19e-03    1.3e-05
 726000      3.80e-02      3.53e-04      1.00e-02    1.3e-05
 728000      3.49e-02      2.85e-04      9.18e-03    1.3e-05
 730000      3.99e-02      3.90e-04      1.03e-02    1.3e-05
 732000      3.34e-02      3.52e-04      8.58e-03    1.3e-05
 734000      3.78e-02      3.99e-04      9.86e-03    1.3e-05
 736000      3.09e-02      6.52e-06      8.40e-03    1.3e-05
 738000      5.07e-02      5.31e-05      1.42e-02    1.2e-05
 740000      3.61e-02      1.58e-04      1.01e-02    1.2e-05
 742000      4.09e-02      7.11e-04      1.01e-02    1.2e-05
 744000      3.68e-02      2.51e-04      1.01e-02    1.2e-05
 746000      6.23e-02      3.39e-04      1.72e-02    1.2e-05
 748000      2.92e-02      3.61e-05      8.43e-03    1.1e-05
 750000      2.79e-02      2.23e-04      7.87e-03    1.1e-05
 752000      2.94e-02      3.21e-04      8.00e-03    1.1e-05
 754000      2.89e-02      2.08e-04      8.21e-03    1.1e-05
 756000      2.93e-02      7.81e-05      8.44e-03    1.1e-05
 758000      3.01e-02      7.65e-05      8.68e-03    1.1e-05
 760000      3.36e-02      6.06e-04      8.21e-03    1.0e-05
 762000      2.84e-02      2.87e-04      8.03e-03    1.0e-05
 764000      3.59e-02      8.87e-04      7.85e-03    1.0e-05
 766000      4.03e-02      6.30e-04      1.04e-02    1.0e-05
 768000      2.90e-02      2.64e-04      8.28e-03    1.0e-05
 770000      2.66e-02      7.45e-05      8.15e-03    9.6e-06
 772000      3.30e-02      3.88e-04      9.40e-03    9.6e-06
 774000      2.81e-02      8.46e-05      8.61e-03    9.6e-06
 776000      2.86e-02      2.15e-05      8.79e-03    9.6e-06
 778000      2.85e-02      4.59e-04      7.86e-03    9.6e-06
 780000      2.92e-02      5.14e-04      7.85e-03    9.6e-06
 782000      3.02e-02      6.21e-04      7.88e-03    9.0e-06
 784000      2.68e-02      7.90e-05      8.45e-03    9.0e-06
 786000      2.72e-02      2.00e-04      8.39e-03    9.0e-06
 788000      3.01e-02      5.40e-04      8.30e-03    9.0e-06
 790000      2.89e-02      4.42e-04      8.30e-03    9.0e-06
 792000      2.64e-02      4.18e-05      8.62e-03    8.4e-06
 794000      3.43e-02      6.58e-04      9.51e-03    8.4e-06
 796000      2.55e-02      1.41e-04      8.20e-03    8.4e-06
 798000      2.67e-02      6.77e-05      8.69e-03    8.4e-06
 800000      3.18e-02      3.07e-04      1.00e-02    8.4e-06
 802000      3.13e-02      4.97e-04      9.21e-03    8.4e-06
 804000      2.72e-02      4.06e-04      8.05e-03    7.9e-06
 806000      3.00e-02      1.60e-05      1.01e-02    7.9e-06
 808000      2.50e-02      7.86e-07      8.39e-03    7.9e-06
 810000      2.65e-02      2.44e-05      8.92e-03    7.9e-06
 812000      3.29e-02      5.40e-04      9.87e-03    7.9e-06
